"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","validatePassswordErrorMessages","Default suite","Wed Jul 16 12:36:05 IST 2025","broken","Wed Jul 16 12:36:05 IST 2025","com.paysecure.admin.manageRoles","Default test","com.paysecure.admin.manageRoles","validatePassswordErrorMessages"
"","15974","verifyTransactionLog","Default suite","Tue Jul 15 10:42:44 IST 2025","passed","Tue Jul 15 10:43:00 IST 2025","com.report.test.transactionLog","Default test","com.report.test.transactionLog","verifyTransactionLog"
"","1947","validateEmailFieldErrors","Default suite","Wed Jul 16 15:00:17 IST 2025","passed","Wed Jul 16 15:00:19 IST 2025","com.paysecure.admin.manageRoles","Default test","com.paysecure.admin.manageRoles","validateEmailFieldErrors"
"","3444","verifyAmount_Frequency","Default suite","Thu Jul 10 12:15:43 IST 2025","passed","Thu Jul 10 12:15:46 IST 2025","com.report.test.transaction","Default test","com.report.test.transaction","verifyAmount_Frequency"
"","19530","testTIDInHistoryCardSummarypage","Default suite","Mon Jul 14 14:00:40 IST 2025","passed","Mon Jul 14 14:00:59 IST 2025","com.report.test.transaction","Default test","com.report.test.transaction","testTIDInHistoryCardSummarypage"
"","49407","testTIDInActionCardSummarypage","Default suite","Mon Jul 14 13:56:19 IST 2025","passed","Mon Jul 14 13:57:08 IST 2025","com.report.test.transaction","Default test","com.report.test.transaction","testTIDInActionCardSummarypage"
"","29394","transactionUsingSelectBank","Default suite","Thu Jul 10 12:06:58 IST 2025","passed","Thu Jul 10 12:07:28 IST 2025","com.report.test.transaction","Default test","com.report.test.transaction","transactionUsingSelectBank"
"","12955","selectTimeZoneAndVerify","Default suite","Thu Jul 10 12:09:25 IST 2025","passed","Thu Jul 10 12:09:38 IST 2025","com.report.test.transaction","Default test","com.report.test.transaction","selectTimeZoneAndVerify"
"","3","verifyErrorInUsernameField","Default suite","Wed Jul 16 11:24:54 IST 2025","broken","Wed Jul 16 11:24:54 IST 2025","com.paysecure.admin.manageRoles","Default test","com.paysecure.admin.manageRoles","verifyErrorInUsernameField"
"","39048","f","Default suite","Thu Jul 10 14:48:42 IST 2025","passed","Thu Jul 10 14:49:21 IST 2025","com.report.test.apiLog","Default test","com.report.test.apiLog","f"
"","122793","testTIDInHistoryCardSummarypage","Default suite","Mon Jul 14 14:01:12 IST 2025","passed","Mon Jul 14 14:03:15 IST 2025","com.report.test.transaction","Default test","com.report.test.transaction","testTIDInHistoryCardSummarypage"
"","7459","testTIDInHistoryCardSummarypage","Default suite","Mon Jul 14 14:03:29 IST 2025","passed","Mon Jul 14 14:03:37 IST 2025","com.report.test.transaction","Default test","com.report.test.transaction","testTIDInHistoryCardSummarypage"
